input file name: ../sc-cnn-chainer/dataset/mr_input.dat
loading word2vec model...
height (max length of sentences): 59
width (size of wordembedding vecteor ): 300
epoch 1 / 100
train mean loss=0.585579633713, accuracy=0.670940160751
 test mean loss=0.498227357864, accuracy=0.761012196541
epoch 2 / 100
train mean loss=0.461650490761, accuracy=0.785595178604
 test mean loss=0.438996106386, accuracy=0.802249312401
epoch 3 / 100
train mean loss=0.392072081566, accuracy=0.823952496052
 test mean loss=0.460991322994, accuracy=0.781630754471
epoch 4 / 100
train mean loss=0.349920868874, accuracy=0.848759651184
 test mean loss=0.546987831593, accuracy=0.738519191742
epoch 5 / 100
train mean loss=0.283608347178, accuracy=0.881279945374
 test mean loss=0.492615491152, accuracy=0.787253975868
epoch 6 / 100
train mean loss=0.223958358169, accuracy=0.90567022562
 test mean loss=0.676883041859, accuracy=0.749765694141
epoch 7 / 100
train mean loss=0.163593441248, accuracy=0.937148213387
 test mean loss=0.687011122704, accuracy=0.768509864807
epoch 8 / 100
train mean loss=0.110890574753, accuracy=0.956118404865
 test mean loss=0.716281712055, accuracy=0.788191199303
epoch 9 / 100
train mean loss=0.0742363259196, accuracy=0.97237855196
 test mean loss=0.791637122631, accuracy=0.783505141735
epoch 10 / 100
train mean loss=0.0477760024369, accuracy=0.982384800911
 test mean loss=0.963568031788, accuracy=0.78444236517
epoch 11 / 100
train mean loss=0.0260475408286, accuracy=0.990306437016
 test mean loss=1.17354130745, accuracy=0.767572641373
epoch 12 / 100
train mean loss=0.0251864735037, accuracy=0.991661429405
 test mean loss=1.26865613461, accuracy=0.759137749672
epoch 13 / 100
train mean loss=0.0140151260421, accuracy=0.99562227726
 test mean loss=1.10862445831, accuracy=0.791002810001
epoch 14 / 100
train mean loss=0.0265021566302, accuracy=0.990619122982
 test mean loss=1.14242506027, accuracy=0.794751644135
epoch 15 / 100
train mean loss=0.0104216774926, accuracy=0.997185766697
 test mean loss=1.25193166733, accuracy=0.792877197266
epoch 16 / 100
train mean loss=0.00487795798108, accuracy=0.99864500761
 test mean loss=1.21370768547, accuracy=0.802249312401
epoch 17 / 100
train mean loss=0.00168845162261, accuracy=0.999687314034
 test mean loss=1.21614515781, accuracy=0.797563254833
epoch 18 / 100
train mean loss=0.0101869832724, accuracy=0.99697726965
 test mean loss=1.21014463902, accuracy=0.800374865532
epoch 19 / 100
train mean loss=0.00134326156694, accuracy=0.999687314034
 test mean loss=1.20791661739, accuracy=0.798500478268
epoch 20 / 100
train mean loss=0.00118551857304, accuracy=0.999687314034
 test mean loss=1.20788729191, accuracy=0.799437701702
epoch 21 / 100
train mean loss=0.00109041552059, accuracy=0.999687314034
 test mean loss=1.17612743378, accuracy=0.797563254833
epoch 22 / 100
train mean loss=0.00104814488441, accuracy=0.999687314034
 test mean loss=1.15254104137, accuracy=0.796626031399
epoch 23 / 100
train mean loss=0.0010953451274, accuracy=0.999687314034
 test mean loss=1.12105357647, accuracy=0.799437701702
epoch 24 / 100
train mean loss=0.00101214309689, accuracy=0.999687314034
 test mean loss=1.10250508785, accuracy=0.798500478268
epoch 25 / 100
train mean loss=0.00110861589201, accuracy=0.999687314034
 test mean loss=1.09467852116, accuracy=0.797563254833
epoch 26 / 100
train mean loss=0.00109308003448, accuracy=0.999687314034
 test mean loss=1.07461595535, accuracy=0.802249312401
epoch 27 / 100
train mean loss=0.0011605261825, accuracy=0.999687314034
 test mean loss=1.04491603374, accuracy=0.7938144207
epoch 28 / 100
train mean loss=0.00121405429672, accuracy=0.999687314034
 test mean loss=1.02619457245, accuracy=0.795688867569
epoch 29 / 100
train mean loss=0.00111592712346, accuracy=0.999687314034
 test mean loss=1.014950037, accuracy=0.792877197266
epoch 30 / 100
train mean loss=0.00120603328105, accuracy=0.999687314034
 test mean loss=1.00153553486, accuracy=0.798500478268
epoch 31 / 100
train mean loss=0.00120037642773, accuracy=0.999687314034
 test mean loss=0.99417835474, accuracy=0.797563254833
epoch 32 / 100
train mean loss=0.00122416275553, accuracy=0.99958306551
 test mean loss=0.970859289169, accuracy=0.798500478268
epoch 33 / 100
train mean loss=0.00121608970221, accuracy=0.999687314034
 test mean loss=0.966721832752, accuracy=0.798500478268
epoch 34 / 100
train mean loss=0.0011849112343, accuracy=0.999687314034
 test mean loss=0.9662348032, accuracy=0.797563254833
epoch 35 / 100
train mean loss=0.00134460360277, accuracy=0.99958306551
 test mean loss=0.981350243092, accuracy=0.798500478268
epoch 36 / 100
train mean loss=0.00132557505276, accuracy=0.999687314034
 test mean loss=0.94832098484, accuracy=0.799437701702
epoch 37 / 100
train mean loss=0.00126041134354, accuracy=0.999687314034
 test mean loss=1.00154447556, accuracy=0.791002810001
