input file name: ../sc-cnn-chainer/dataset/input.dat
loading word2vec model...
height (max length of sentences): 59
width (size of wordembedding vecteor ): 300
epoch 1 / 100
train mean loss=0.572251319885, accuracy=0.688868045807
 test mean loss=0.573211729527, accuracy=0.693533241749
epoch 2 / 100
train mean loss=0.446855425835, accuracy=0.792057514191
 test mean loss=0.485597193241, accuracy=0.77319586277
epoch 3 / 100
train mean loss=0.384908854961, accuracy=0.832707941532
 test mean loss=0.497124999762, accuracy=0.768509864807
epoch 4 / 100
train mean loss=0.321447700262, accuracy=0.858765900135
 test mean loss=0.54267001152, accuracy=0.746016860008
epoch 5 / 100
train mean loss=0.261569440365, accuracy=0.891598939896
 test mean loss=0.747551262379, accuracy=0.718837857246
epoch 6 / 100
train mean loss=0.197115167975, accuracy=0.919845759869
 test mean loss=0.663831174374, accuracy=0.765698194504
epoch 7 / 100
train mean loss=0.152861595154, accuracy=0.939754009247
 test mean loss=0.69885712862, accuracy=0.768509864807
epoch 8 / 100
train mean loss=0.0957230105996, accuracy=0.965186595917
 test mean loss=0.847104012966, accuracy=0.768509864807
epoch 9 / 100
train mean loss=0.0667583346367, accuracy=0.975922465324
 test mean loss=1.01872205734, accuracy=0.76382380724
epoch 10 / 100
train mean loss=0.0335969030857, accuracy=0.990410685539
 test mean loss=1.1093916893, accuracy=0.779756307602
epoch 11 / 100
train mean loss=0.0180257726461, accuracy=0.99343341589
 test mean loss=1.32606518269, accuracy=0.75257730484
epoch 12 / 100
train mean loss=0.0167446564883, accuracy=0.994579970837
 test mean loss=1.22667455673, accuracy=0.781630754471
epoch 13 / 100
train mean loss=0.00826529599726, accuracy=0.998019576073
 test mean loss=1.32280242443, accuracy=0.775070309639
epoch 14 / 100
train mean loss=0.0024963344913, accuracy=0.999687314034
 test mean loss=1.36346232891, accuracy=0.776007473469
epoch 15 / 100
train mean loss=0.0012708135182, accuracy=0.999791562557
 test mean loss=1.35317337513, accuracy=0.776007473469
epoch 16 / 100
train mean loss=0.00116763170809, accuracy=0.999791562557
 test mean loss=1.33531332016, accuracy=0.779756307602
epoch 17 / 100
train mean loss=0.000967832515016, accuracy=0.999791562557
 test mean loss=1.31525480747, accuracy=0.782567918301
epoch 18 / 100
train mean loss=0.0010931477882, accuracy=0.999791562557
 test mean loss=1.30147790909, accuracy=0.780693531036
epoch 19 / 100
train mean loss=0.00104542146437, accuracy=0.999791562557
 test mean loss=1.26947021484, accuracy=0.780693531036
epoch 20 / 100
train mean loss=0.00105402560439, accuracy=0.999791562557
 test mean loss=1.2418640852, accuracy=0.77319586277
epoch 21 / 100
train mean loss=0.00103734154254, accuracy=0.999791562557
 test mean loss=1.22546601295, accuracy=0.783505141735
epoch 22 / 100
train mean loss=0.00112837448251, accuracy=0.999791562557
 test mean loss=1.21921503544, accuracy=0.779756307602
epoch 23 / 100
train mean loss=0.00105148192961, accuracy=0.999791562557
 test mean loss=1.19393348694, accuracy=0.783505141735
epoch 24 / 100
train mean loss=0.00115835270844, accuracy=0.999791562557
 test mean loss=1.16934192181, accuracy=0.787253975868
epoch 25 / 100
train mean loss=0.00113635475282, accuracy=0.999791562557
 test mean loss=1.15755021572, accuracy=0.785379588604
epoch 26 / 100
train mean loss=0.00113806291483, accuracy=0.999791562557
 test mean loss=1.16284561157, accuracy=0.782567918301
epoch 27 / 100
train mean loss=0.00117709860206, accuracy=0.999791562557
 test mean loss=1.13421797752, accuracy=0.781630754471
epoch 28 / 100
train mean loss=0.00117492862046, accuracy=0.999791562557
 test mean loss=1.13300061226, accuracy=0.767572641373
epoch 29 / 100
train mean loss=0.00119284144603, accuracy=0.999791562557
 test mean loss=1.1207536459, accuracy=0.783505141735
epoch 30 / 100
train mean loss=0.00115579459816, accuracy=0.999791562557
 test mean loss=1.1163674593, accuracy=0.775070309639
epoch 31 / 100
train mean loss=0.00123098981567, accuracy=0.999687314034
 test mean loss=1.13635528088, accuracy=0.767572641373
epoch 32 / 100
train mean loss=0.00139931193553, accuracy=0.999791562557
 test mean loss=1.08982586861, accuracy=0.780693531036
epoch 33 / 100
train mean loss=0.0809498727322, accuracy=0.973629355431
 test mean loss=1.8270919323, accuracy=0.686972796917
epoch 34 / 100
train mean loss=0.279748082161, accuracy=0.888055026531
 test mean loss=0.701268911362, accuracy=0.782567918301
epoch 35 / 100
train mean loss=0.113358467817, accuracy=0.957577645779
 test mean loss=0.875295341015, accuracy=0.76382380724
epoch 36 / 100
train mean loss=0.0468784160912, accuracy=0.984365224838
 test mean loss=1.1177123785, accuracy=0.762886583805
epoch 37 / 100
train mean loss=0.0268308110535, accuracy=0.990619122982
 test mean loss=1.1650646925, accuracy=0.776007473469
