input file name: ../sc-cnn-chainer/dataset/input.dat
loading word2vec model...
height (max length of sentences): 59
width (size of wordembedding vecteor ): 300
epoch 1 / 100
train mean loss=0.577604830265, accuracy=0.682301461697
 test mean loss=0.499871402979, accuracy=0.760074973106
epoch 2 / 100
train mean loss=0.446904689074, accuracy=0.789868652821
 test mean loss=0.513914167881, accuracy=0.754451751709
epoch 3 / 100
train mean loss=0.385481595993, accuracy=0.829268276691
 test mean loss=0.50300860405, accuracy=0.778819143772
epoch 4 / 100
train mean loss=0.328047931194, accuracy=0.856472790241
 test mean loss=0.533560454845, accuracy=0.767572641373
epoch 5 / 100
train mean loss=0.269876688719, accuracy=0.885970413685
 test mean loss=0.504659056664, accuracy=0.789128422737
epoch 6 / 100
train mean loss=0.224476113915, accuracy=0.907129466534
 test mean loss=0.582286715508, accuracy=0.76382380724
epoch 7 / 100
train mean loss=0.144054457545, accuracy=0.944235980511
 test mean loss=0.786772847176, accuracy=0.768509864807
epoch 8 / 100
train mean loss=0.0984988734126, accuracy=0.963101923466
 test mean loss=0.946517169476, accuracy=0.75257730484
epoch 9 / 100
train mean loss=0.0593056678772, accuracy=0.979153633118
 test mean loss=1.15604531765, accuracy=0.747891306877
epoch 10 / 100
train mean loss=0.0401280373335, accuracy=0.986971020699
 test mean loss=1.09375846386, accuracy=0.765698194504
epoch 11 / 100
train mean loss=0.0256643928587, accuracy=0.991765677929
 test mean loss=1.15349948406, accuracy=0.766635417938
epoch 12 / 100
train mean loss=0.0268111489713, accuracy=0.991869926453
 test mean loss=1.21859896183, accuracy=0.77225869894
epoch 13 / 100
train mean loss=0.00940241198987, accuracy=0.99781113863
 test mean loss=1.32466208935, accuracy=0.76382380724
epoch 14 / 100
train mean loss=0.00963333249092, accuracy=0.996768832207
 test mean loss=1.37398278713, accuracy=0.764761030674
epoch 15 / 100
train mean loss=0.00227642524987, accuracy=0.99958306551
 test mean loss=1.38742685318, accuracy=0.769447028637
epoch 16 / 100
train mean loss=0.00138373300433, accuracy=0.999687314034
 test mean loss=1.3633415699, accuracy=0.768509864807
epoch 17 / 100
train mean loss=0.00118367641699, accuracy=0.999687314034
 test mean loss=1.32236623764, accuracy=0.767572641373
epoch 18 / 100
train mean loss=0.00130224402528, accuracy=0.999687314034
 test mean loss=1.28861987591, accuracy=0.77225869894
epoch 19 / 100
train mean loss=0.00110973219853, accuracy=0.999687314034
 test mean loss=1.27553653717, accuracy=0.769447028637
epoch 20 / 100
train mean loss=0.00114552711602, accuracy=0.999687314034
 test mean loss=1.25343990326, accuracy=0.770384252071
epoch 21 / 100
train mean loss=0.00121974677313, accuracy=0.999687314034
 test mean loss=1.22924351692, accuracy=0.77319586277
epoch 22 / 100
train mean loss=0.00115790881682, accuracy=0.999687314034
 test mean loss=1.19955182076, accuracy=0.770384252071
epoch 23 / 100
train mean loss=0.00115323276259, accuracy=0.999687314034
 test mean loss=1.22111845016, accuracy=0.768509864807
epoch 24 / 100
train mean loss=0.00121169665363, accuracy=0.999687314034
 test mean loss=1.16721737385, accuracy=0.776944696903
epoch 25 / 100
train mean loss=0.00126918405294, accuracy=0.999687314034
 test mean loss=1.16285085678, accuracy=0.770384252071
epoch 26 / 100
train mean loss=0.0012901534792, accuracy=0.999687314034
 test mean loss=1.14107894897, accuracy=0.770384252071
epoch 27 / 100
train mean loss=0.0012116660364, accuracy=0.999687314034
 test mean loss=1.1467436552, accuracy=0.768509864807
epoch 28 / 100
train mean loss=0.00133905909024, accuracy=0.999687314034
 test mean loss=1.11133420467, accuracy=0.776944696903
epoch 29 / 100
train mean loss=0.106802709401, accuracy=0.965916216373
 test mean loss=2.00546097755, accuracy=0.66916590929
epoch 30 / 100
train mean loss=0.254188150167, accuracy=0.902334809303
 test mean loss=1.00502049923, accuracy=0.736644804478
epoch 31 / 100
train mean loss=0.0875539109111, accuracy=0.967688143253
 test mean loss=1.04686152935, accuracy=0.758200585842
epoch 32 / 100
train mean loss=0.0272979922593, accuracy=0.99124455452
 test mean loss=1.10539901257, accuracy=0.771321475506
epoch 33 / 100
train mean loss=0.00720991147682, accuracy=0.99864500761
 test mean loss=1.1472645998, accuracy=0.780693531036
epoch 34 / 100
train mean loss=0.00236882572062, accuracy=0.99958306551
 test mean loss=1.18954229355, accuracy=0.778819143772
epoch 35 / 100
train mean loss=0.00155212299433, accuracy=0.999687314034
 test mean loss=1.20923757553, accuracy=0.777881920338
epoch 36 / 100
train mean loss=0.00124751054682, accuracy=0.999687314034
 test mean loss=1.2453328371, accuracy=0.768509864807
epoch 37 / 100
train mean loss=0.00124039757065, accuracy=0.999687314034
 test mean loss=1.18741571903, accuracy=0.776944696903
