input file name: ../sc-cnn-chainer/dataset/input.dat
loading word2vec model...
height (max length of sentences): 59
width (size of wordembedding vecteor ): 300
epoch 1 / 100
train mean loss=0.587357461452, accuracy=0.675317883492
 test mean loss=0.476468026638, accuracy=0.78444236517
epoch 2 / 100
train mean loss=0.452450543642, accuracy=0.784761309624
 test mean loss=0.553267657757, accuracy=0.733833193779
epoch 3 / 100
train mean loss=0.388839483261, accuracy=0.823327064514
 test mean loss=0.439894735813, accuracy=0.802249312401
epoch 4 / 100
train mean loss=0.319594830275, accuracy=0.860537827015
 test mean loss=0.509968817234, accuracy=0.776944696903
epoch 5 / 100
train mean loss=0.238067626953, accuracy=0.900354385376
 test mean loss=0.656282544136, accuracy=0.759137749672
epoch 6 / 100
train mean loss=0.170192211866, accuracy=0.932249307632
 test mean loss=0.615105271339, accuracy=0.778819143772
epoch 7 / 100
train mean loss=0.0876931771636, accuracy=0.968105077744
 test mean loss=0.745109677315, accuracy=0.778819143772
epoch 8 / 100
train mean loss=0.0522226765752, accuracy=0.982697546482
 test mean loss=0.941605448723, accuracy=0.77319586277
epoch 9 / 100
train mean loss=0.0296145733446, accuracy=0.990202188492
 test mean loss=1.04032337666, accuracy=0.783505141735
epoch 10 / 100
train mean loss=0.02104543522, accuracy=0.99385035038
 test mean loss=1.11780309677, accuracy=0.786316752434
epoch 11 / 100
train mean loss=0.00309993582778, accuracy=0.999478816986
 test mean loss=1.09549152851, accuracy=0.788191199303
epoch 12 / 100
train mean loss=0.00135103845969, accuracy=0.999687314034
 test mean loss=1.1410394907, accuracy=0.7938144207
epoch 13 / 100
train mean loss=0.00108062440995, accuracy=0.999687314034
 test mean loss=1.12998282909, accuracy=0.792877197266
epoch 14 / 100
train mean loss=0.00105242815334, accuracy=0.999687314034
 test mean loss=1.10176408291, accuracy=0.795688867569
epoch 15 / 100
train mean loss=0.000945453066379, accuracy=0.999687314034
 test mean loss=1.0964474678, accuracy=0.795688867569
epoch 16 / 100
train mean loss=0.00101924082264, accuracy=0.999687314034
 test mean loss=1.06070947647, accuracy=0.792877197266
epoch 17 / 100
train mean loss=0.000981870340183, accuracy=0.99958306551
 test mean loss=1.03835713863, accuracy=0.792877197266
epoch 18 / 100
train mean loss=0.00102457986213, accuracy=0.999687314034
 test mean loss=1.03040754795, accuracy=0.799437701702
epoch 19 / 100
train mean loss=0.00104112934787, accuracy=0.999687314034
 test mean loss=1.00856351852, accuracy=0.794751644135
epoch 20 / 100
train mean loss=0.000985009712167, accuracy=0.99958306551
 test mean loss=0.993637382984, accuracy=0.791002810001
epoch 21 / 100
train mean loss=0.00101158418693, accuracy=0.999687314034
 test mean loss=0.993770182133, accuracy=0.787253975868
epoch 22 / 100
train mean loss=0.001045157318, accuracy=0.999687314034
 test mean loss=0.965098619461, accuracy=0.792877197266
epoch 23 / 100
train mean loss=0.00100153544918, accuracy=0.999687314034
 test mean loss=0.952378809452, accuracy=0.792877197266
epoch 24 / 100
train mean loss=0.0010793680558, accuracy=0.99958306551
 test mean loss=0.949899196625, accuracy=0.792877197266
epoch 25 / 100
train mean loss=0.00112221715972, accuracy=0.99958306551
 test mean loss=0.946453034878, accuracy=0.791940033436
epoch 26 / 100
train mean loss=0.00108126259875, accuracy=0.99958306551
 test mean loss=0.934048652649, accuracy=0.790065586567
epoch 27 / 100
train mean loss=0.00112705607899, accuracy=0.999687314034
 test mean loss=0.918524503708, accuracy=0.791940033436
epoch 28 / 100
train mean loss=0.00108319765422, accuracy=0.99958306551
 test mean loss=0.92406141758, accuracy=0.788191199303
epoch 29 / 100
train mean loss=0.00114049215335, accuracy=0.99958306551
 test mean loss=0.90603607893, accuracy=0.791940033436
epoch 30 / 100
train mean loss=0.00112894573249, accuracy=0.99958306551
 test mean loss=0.899744331837, accuracy=0.786316752434
epoch 31 / 100
train mean loss=0.00124278466683, accuracy=0.999374628067
 test mean loss=0.908739566803, accuracy=0.794751644135
epoch 32 / 100
train mean loss=0.0011733333813, accuracy=0.99958306551
 test mean loss=0.878315746784, accuracy=0.791002810001
epoch 33 / 100
train mean loss=0.00115977437235, accuracy=0.99958306551
 test mean loss=0.88849401474, accuracy=0.790065586567
epoch 34 / 100
train mean loss=0.00129710766487, accuracy=0.999478816986
 test mean loss=1.224583745, accuracy=0.761012196541
epoch 35 / 100
train mean loss=0.437347561121, accuracy=0.841776132584
 test mean loss=0.690269052982, accuracy=0.75257730484
epoch 36 / 100
train mean loss=0.129646733403, accuracy=0.953408360481
 test mean loss=0.750731408596, accuracy=0.778819143772
epoch 37 / 100
train mean loss=0.0531744658947, accuracy=0.981134057045
 test mean loss=1.36311745644, accuracy=0.729147136211
