input file name: ../sc-cnn-chainer/dataset/mr_input.dat
loading word2vec model...
height (max length of sentences): 59
width (size of wordembedding vecteor ): 300
epoch 1 / 100
train mean loss=0.586108982563, accuracy=0.682614147663
 test mean loss=0.469169795513, accuracy=0.782567918301
epoch 2 / 100
train mean loss=0.450809925795, accuracy=0.784448623657
 test mean loss=0.456127017736, accuracy=0.785379588604
epoch 3 / 100
train mean loss=0.384774416685, accuracy=0.824369370937
 test mean loss=0.601037144661, accuracy=0.721649467945
epoch 4 / 100
train mean loss=0.309972643852, accuracy=0.864811360836
 test mean loss=0.457646906376, accuracy=0.788191199303
epoch 5 / 100
train mean loss=0.247735962272, accuracy=0.894517421722
 test mean loss=0.526354253292, accuracy=0.78444236517
epoch 6 / 100
train mean loss=0.15842448175, accuracy=0.93819051981
 test mean loss=0.743452906609, accuracy=0.761012196541
epoch 7 / 100
train mean loss=0.0683797374368, accuracy=0.976860523224
 test mean loss=0.809299945831, accuracy=0.788191199303
epoch 8 / 100
train mean loss=0.0499291159213, accuracy=0.982489049435
 test mean loss=0.849371612072, accuracy=0.781630754471
epoch 9 / 100
train mean loss=0.031807821244, accuracy=0.989576816559
 test mean loss=0.910853266716, accuracy=0.799437701702
epoch 10 / 100
train mean loss=0.00519197015092, accuracy=0.999478816986
 test mean loss=1.0399273634, accuracy=0.799437701702
epoch 11 / 100
train mean loss=0.00166340661235, accuracy=0.999895751476
 test mean loss=1.04549849033, accuracy=0.801312088966
epoch 12 / 100
train mean loss=0.00091433909256, accuracy=0.999895751476
 test mean loss=1.06809401512, accuracy=0.804123699665
epoch 13 / 100
train mean loss=0.000771128281485, accuracy=0.999895751476
 test mean loss=1.07341873646, accuracy=0.8050609231
epoch 14 / 100
train mean loss=0.000753179716412, accuracy=0.999895751476
 test mean loss=1.03135788441, accuracy=0.8050609231
epoch 15 / 100
train mean loss=0.000726684229448, accuracy=0.999895751476
 test mean loss=1.03151428699, accuracy=0.807872533798
epoch 16 / 100
train mean loss=0.000699014402926, accuracy=0.999895751476
 test mean loss=1.0115506649, accuracy=0.804123699665
epoch 17 / 100
train mean loss=0.000702667748556, accuracy=0.999895751476
 test mean loss=1.01955366135, accuracy=0.801312088966
epoch 18 / 100
train mean loss=0.000747157377191, accuracy=0.999895751476
 test mean loss=0.989240527153, accuracy=0.804123699665
epoch 19 / 100
train mean loss=0.000715874717571, accuracy=0.999895751476
 test mean loss=0.967751562595, accuracy=0.801312088966
epoch 20 / 100
train mean loss=0.000776421860792, accuracy=0.999895751476
 test mean loss=0.947286307812, accuracy=0.801312088966
epoch 21 / 100
train mean loss=0.000824581889901, accuracy=0.999895751476
 test mean loss=0.954764842987, accuracy=0.804123699665
epoch 22 / 100
train mean loss=0.000852065568324, accuracy=0.999895751476
 test mean loss=0.936969101429, accuracy=0.803186476231
epoch 23 / 100
train mean loss=0.000798842869699, accuracy=0.999895751476
 test mean loss=0.949716448784, accuracy=0.802249312401
epoch 24 / 100
train mean loss=0.000842400360852, accuracy=0.999895751476
 test mean loss=0.906310200691, accuracy=0.803186476231
epoch 25 / 100
train mean loss=0.000872743024956, accuracy=0.999895751476
 test mean loss=0.913882851601, accuracy=0.803186476231
epoch 26 / 100
train mean loss=0.000876876001712, accuracy=0.999895751476
 test mean loss=0.890081763268, accuracy=0.800374865532
epoch 27 / 100
train mean loss=0.000907630426809, accuracy=0.999895751476
 test mean loss=0.880765318871, accuracy=0.8050609231
epoch 28 / 100
train mean loss=0.000870695395861, accuracy=0.999895751476
 test mean loss=0.884508252144, accuracy=0.803186476231
epoch 29 / 100
train mean loss=0.000900266575627, accuracy=0.999895751476
 test mean loss=0.867796957493, accuracy=0.806935310364
epoch 30 / 100
train mean loss=0.000912464107387, accuracy=0.999895751476
 test mean loss=0.89464455843, accuracy=0.800374865532
epoch 31 / 100
train mean loss=0.000874527497217, accuracy=0.999895751476
 test mean loss=0.843722760677, accuracy=0.805998146534
epoch 32 / 100
train mean loss=0.000957552227192, accuracy=0.999895751476
 test mean loss=0.843045711517, accuracy=0.8050609231
epoch 33 / 100
train mean loss=0.000903572887182, accuracy=0.999895751476
 test mean loss=0.828577876091, accuracy=0.803186476231
epoch 34 / 100
train mean loss=0.000921956961975, accuracy=0.999895751476
 test mean loss=0.819728195667, accuracy=0.804123699665
epoch 35 / 100
train mean loss=0.000966969819274, accuracy=0.999895751476
 test mean loss=0.816336512566, accuracy=0.8050609231
epoch 36 / 100
train mean loss=0.164518356323, accuracy=0.962997734547
 test mean loss=1.29189431667, accuracy=0.657919406891
epoch 37 / 100
train mean loss=0.324299126863, accuracy=0.860016703606
 test mean loss=0.554119229317, accuracy=0.791940033436
