input file name: ../sc-cnn-chainer/dataset/input.dat
loading word2vec model...
height (max length of sentences): 59
width (size of wordembedding vecteor ): 300
epoch 1 / 100
train mean loss=0.592003583908, accuracy=0.669793605804
 test mean loss=0.494702249765, accuracy=0.767572641373
epoch 2 / 100
train mean loss=0.457952648401, accuracy=0.786012113094
 test mean loss=0.443654239178, accuracy=0.782567918301
epoch 3 / 100
train mean loss=0.38573038578, accuracy=0.829268276691
 test mean loss=0.431439429522, accuracy=0.799437701702
epoch 4 / 100
train mean loss=0.31819075346, accuracy=0.861059010029
 test mean loss=0.450740993023, accuracy=0.794751644135
epoch 5 / 100
train mean loss=0.236322447658, accuracy=0.90483635664
 test mean loss=0.46609762311, accuracy=0.799437701702
epoch 6 / 100
train mean loss=0.175392270088, accuracy=0.929539322853
 test mean loss=0.848269999027, accuracy=0.716026246548
epoch 7 / 100
train mean loss=0.0930694490671, accuracy=0.966854274273
 test mean loss=0.688375651836, accuracy=0.786316752434
epoch 8 / 100
train mean loss=0.0442863889039, accuracy=0.984782159328
 test mean loss=0.815098047256, accuracy=0.795688867569
epoch 9 / 100
train mean loss=0.00899553392082, accuracy=0.998123824596
 test mean loss=0.954502701759, accuracy=0.796626031399
epoch 10 / 100
train mean loss=0.0305882040411, accuracy=0.989681065083
 test mean loss=0.938948512077, accuracy=0.802249312401
epoch 11 / 100
train mean loss=0.0052000018768, accuracy=0.999061942101
 test mean loss=1.00279653072, accuracy=0.788191199303
epoch 12 / 100
train mean loss=0.00156440539286, accuracy=0.999687314034
 test mean loss=1.01846790314, accuracy=0.792877197266
epoch 13 / 100
train mean loss=0.00105561909731, accuracy=0.999687314034
 test mean loss=1.01219117641, accuracy=0.802249312401
epoch 14 / 100
train mean loss=0.00093308952637, accuracy=0.999687314034
 test mean loss=0.999300658703, accuracy=0.804123699665
epoch 15 / 100
train mean loss=0.000864547444507, accuracy=0.999791562557
 test mean loss=0.989892184734, accuracy=0.794751644135
epoch 16 / 100
train mean loss=0.000915733224247, accuracy=0.99958306551
 test mean loss=0.964178264141, accuracy=0.795688867569
epoch 17 / 100
train mean loss=0.00088673690334, accuracy=0.999687314034
 test mean loss=0.956352055073, accuracy=0.794751644135
epoch 18 / 100
train mean loss=0.000888584181666, accuracy=0.999687314034
 test mean loss=0.940352320671, accuracy=0.790065586567
epoch 19 / 100
train mean loss=0.000902903557289, accuracy=0.99958306551
 test mean loss=0.922791242599, accuracy=0.796626031399
epoch 20 / 100
train mean loss=0.000873230164871, accuracy=0.999791562557
 test mean loss=0.913285493851, accuracy=0.795688867569
epoch 21 / 100
train mean loss=0.000895124452654, accuracy=0.999791562557
 test mean loss=0.899205744267, accuracy=0.8050609231
epoch 22 / 100
train mean loss=0.000922993407585, accuracy=0.999791562557
 test mean loss=0.888676583767, accuracy=0.804123699665
epoch 23 / 100
train mean loss=0.000961547659244, accuracy=0.99958306551
 test mean loss=0.875884950161, accuracy=0.799437701702
epoch 24 / 100
train mean loss=0.000969585613348, accuracy=0.999687314034
 test mean loss=0.869399249554, accuracy=0.795688867569
epoch 25 / 100
train mean loss=0.00094073190121, accuracy=0.999687314034
 test mean loss=0.864090502262, accuracy=0.795688867569
epoch 26 / 100
train mean loss=0.00103385478724, accuracy=0.999791562557
 test mean loss=0.851196169853, accuracy=0.799437701702
epoch 27 / 100
train mean loss=0.000994345289655, accuracy=0.999687314034
 test mean loss=0.841482460499, accuracy=0.800374865532
epoch 28 / 100
train mean loss=0.000976120762061, accuracy=0.999791562557
 test mean loss=0.834719121456, accuracy=0.8050609231
epoch 29 / 100
train mean loss=0.00104831485078, accuracy=0.999791562557
 test mean loss=0.833548545837, accuracy=0.800374865532
epoch 30 / 100
train mean loss=0.00102564506233, accuracy=0.999791562557
 test mean loss=0.824768543243, accuracy=0.801312088966
epoch 31 / 100
train mean loss=0.00104605359957, accuracy=0.99958306551
 test mean loss=0.81309312582, accuracy=0.806935310364
epoch 32 / 100
train mean loss=0.00109173986129, accuracy=0.999687314034
 test mean loss=0.813558876514, accuracy=0.801312088966
epoch 33 / 100
train mean loss=0.00108628591988, accuracy=0.999687314034
 test mean loss=0.797586858273, accuracy=0.803186476231
epoch 34 / 100
train mean loss=0.00109726830851, accuracy=0.999687314034
 test mean loss=0.794783115387, accuracy=0.803186476231
epoch 35 / 100
train mean loss=0.0011403397657, accuracy=0.999687314034
 test mean loss=0.806239485741, accuracy=0.797563254833
epoch 36 / 100
train mean loss=0.000980279408395, accuracy=0.999791562557
 test mean loss=0.791685640812, accuracy=0.803186476231
epoch 37 / 100
train mean loss=0.00118131120689, accuracy=0.99958306551
 test mean loss=0.806320488453, accuracy=0.791940033436
